,Dept #,Dept Description,Charge #,Description,Price,"Zero Charge
Explanation ",Hospital,Year
951,250,PHARMACY HOSPITAL,6849061,SODIUM PHOSPH 45MMOL NS 250ML,61.4,,Banner Lassen Medical Center,2019
952,250,PHARMACY HOSPITAL,6849079,CALCIUM ACETATE 667MG CAP,6.9,,Banner Lassen Medical Center,2019
953,250,PHARMACY HOSPITAL,6849103,DABIGATRAN 75MG CAP,17.3,,Banner Lassen Medical Center,2019
954,250,PHARMACY HOSPITAL,6849343,DENOSUMAB/1MG INJ,38.1,,Banner Lassen Medical Center,2019
955,250,PHARMACY HOSPITAL,6849475,OXYCODONE 20MG TAB,6.5,,Banner Lassen Medical Center,2019
956,250,PHARMACY HOSPITAL,6849707,IRON DEXTRAN 25MG NS 50ML PB,79.7,,Banner Lassen Medical Center,2019
957,250,PHARMACY HOSPITAL,6849764,ADRENALIN EPINEPHRINE/0.1MG INJ,5.8,,Banner Lassen Medical Center,2019
958,250,PHARMACY HOSPITAL,6849772,EPINEPHRINE/0.1MG SYR,14.0,,Banner Lassen Medical Center,2019
959,250,PHARMACY HOSPITAL,6849780,EPINEPHRINE/0.1MG SYI,7.2,,Banner Lassen Medical Center,2019
960,250,PHARMACY HOSPITAL,6849830,BETAMETH ACETATE/SOD PHOS/3+3MG INJ,20.5,,Banner Lassen Medical Center,2019
961,250,PHARMACY HOSPITAL,6849871,CISPLATIN/10MG INJ,254.1,,Banner Lassen Medical Center,2019
962,250,PHARMACY HOSPITAL,6849947,VINCRISTINE SULFATE/1MG INJ,145.3,,Banner Lassen Medical Center,2019
963,250,PHARMACY HOSPITAL,6850069,ACYCLOVIR/5MG INJ,1.0,,Banner Lassen Medical Center,2019
964,250,PHARMACY HOSPITAL,6850077,ACYCLOVIR/5MG PB,0.6,,Banner Lassen Medical Center,2019
965,250,PHARMACY HOSPITAL,6850085,ACYCLOVIR/5MG SYI,0.5,,Banner Lassen Medical Center,2019
966,250,PHARMACY HOSPITAL,6850093,PENICILLIN G POTASSIUM<=600KU INJ,17.3,,Banner Lassen Medical Center,2019
967,250,PHARMACY HOSPITAL,6850176,AMIKACIN SULFATE/100MG INJ,96.9,,Banner Lassen Medical Center,2019
968,250,PHARMACY HOSPITAL,6850192,AMINOPHYLLIN<=250MG INJ,64.6,,Banner Lassen Medical Center,2019
969,250,PHARMACY HOSPITAL,6850200,AMINOPHYLLIN<=250MG PB,64.6,,Banner Lassen Medical Center,2019
970,250,PHARMACY HOSPITAL,6850226,AMPICILLIN SOD/500MG INJ,33.4,,Banner Lassen Medical Center,2019
971,250,PHARMACY HOSPITAL,6850234,AMPICILLIN SOD/500MG PB,20.5,,Banner Lassen Medical Center,2019
972,250,PHARMACY HOSPITAL,6850267,AMPICILLIN/SULBACT/1.5GM INJ,35.6,,Banner Lassen Medical Center,2019
973,250,PHARMACY HOSPITAL,6850275,AMPICILLIN/SULBACT/1.5GM PB,35.6,,Banner Lassen Medical Center,2019
974,250,PHARMACY HOSPITAL,6850283,BUTORPHANOL TARTRAT/1MG INJ,40.9,,Banner Lassen Medical Center,2019
975,250,PHARMACY HOSPITAL,6850325,DOXORUBICIN HCL/10MG INJ LOW DOSE,134.6,,Banner Lassen Medical Center,2019
976,250,PHARMACY HOSPITAL,6850366,VINBLASTINE SULFATE/1MG INJ,206.7,,Banner Lassen Medical Center,2019
977,250,PHARMACY HOSPITAL,6850424,ETOPOSIDE/10MG INJ,4.3,,Banner Lassen Medical Center,2019
978,250,PHARMACY HOSPITAL,6850440,ZIPRASIDONE MESYLATE/10MG INJ,38.5,,Banner Lassen Medical Center,2019
979,250,PHARMACY HOSPITAL,6850515,FERRIC GLUCONATE/12.5MG INJ,21.5,,Banner Lassen Medical Center,2019
980,250,PHARMACY HOSPITAL,6850614,MOXIFLOXACIN/100MG PB,47.3,,Banner Lassen Medical Center,2019
981,250,PHARMACY HOSPITAL,6850655,NALBUPHINE HCL/10MG INJ,7.5,,Banner Lassen Medical Center,2019
982,250,PHARMACY HOSPITAL,6850705,FLUPHENAZINE DECANOATE<=25MG INJ,264.3,,Banner Lassen Medical Center,2019
983,250,PHARMACY HOSPITAL,6850721,METHYLPREDNISOLONE/4MG TAB,6.5,,Banner Lassen Medical Center,2019
984,250,PHARMACY HOSPITAL,6850739,AMIODARONE HCL/30MG INJ,2.2,,Banner Lassen Medical Center,2019
985,250,PHARMACY HOSPITAL,6850754,AMIODARONE HCL/30MG PB,68.9,,Banner Lassen Medical Center,2019
986,250,PHARMACY HOSPITAL,6850770,FERROUS SULF 15MG/1ML SYQ,5.1,,Banner Lassen Medical Center,2019
987,250,PHARMACY HOSPITAL,6850846,HISTOACRYL 0.5ML BLUE ADH,72.0,,Banner Lassen Medical Center,2019
988,250,PHARMACY HOSPITAL,6850853,HISTOACRYL 0.5ML CLEAR ADH,97.5,,Banner Lassen Medical Center,2019
989,250,PHARMACY HOSPITAL,6851356,LEUCOVORIN CALCIUM/50MG 100MG INJ,143.2,,Banner Lassen Medical Center,2019
990,250,PHARMACY HOSPITAL,6851380,LEVOFLOXACIN/250MG PB,94.8,,Banner Lassen Medical Center,2019
991,250,PHARMACY HOSPITAL,6851398,AMIODARONE HCL/30MG 900MG PB,2.2,,Banner Lassen Medical Center,2019
992,250,PHARMACY HOSPITAL,6851430,PHYTONADIONE/1MG INJ,8.8,,Banner Lassen Medical Center,2019
993,250,PHARMACY HOSPITAL,6851463,DEXAMETHASONE/0.25MG TAB,5.4,,Banner Lassen Medical Center,2019
994,250,PHARMACY HOSPITAL,6851513,BELIMUMAB/10MG INJ,108.9,,Banner Lassen Medical Center,2019
995,250,PHARMACY HOSPITAL,6851612,PIPERACILLIN/TZB/1.125GM PB,23.5,,Banner Lassen Medical Center,2019
996,250,PHARMACY HOSPITAL,6851620,PIPERACILLIN/TZB/1.125GM INJ,48.5,,Banner Lassen Medical Center,2019
997,250,PHARMACY HOSPITAL,6851679,OCTREOTIDE DEPOT/1MG INJ HIGH DOSE,395.9,,Banner Lassen Medical Center,2019
998,250,PHARMACY HOSPITAL,6851729,HYPERTONIC SALINE/1ML PB,0.1,,Banner Lassen Medical Center,2019
999,250,PHARMACY HOSPITAL,6851794,ACETYLCYSTEINE/100MG INJ,11.5,,Banner Lassen Medical Center,2019
1000,250,PHARMACY HOSPITAL,6852081,KETAMINE 10MG/1ML 5ML SYR,17.3,,Banner Lassen Medical Center,2019
1001,250,PHARMACY HOSPITAL,6852222,OSELTAMIVIR 6MG/ML 60ML LIQ,234.6,,Banner Lassen Medical Center,2019
1002,250,PHARMACY HOSPITAL,6852404,OSELTAMIVIR 6MG/ML 7.5ML SYQ,56.4,,Banner Lassen Medical Center,2019
1003,250,PHARMACY HOSPITAL,6852545,RIVAROXABAN 10MG TAB,22.7,,Banner Lassen Medical Center,2019
1004,250,PHARMACY HOSPITAL,6852552,CEPACOL LOZ 1/PKG,6.5,,Banner Lassen Medical Center,2019
1005,250,PHARMACY HOSPITAL,6852586,OSELTAMIVIR 6MG/ML LIQ,46.6,,Banner Lassen Medical Center,2019
1006,250,PHARMACY HOSPITAL,6852594,CYANOACRYLATE TISSUE 0.7GM ADHESIVE,51.0,,Banner Lassen Medical Center,2019
1007,250,PHARMACY HOSPITAL,6852867,LEVOTHYROXINE 100MCG INJ,227.2,,Banner Lassen Medical Center,2019
1008,250,PHARMACY HOSPITAL,6853055,ACETYLCYSTEINE 20% 30ML LIQ ORAL,62.4,,Banner Lassen Medical Center,2019
1009,250,PHARMACY HOSPITAL,6853402,HYPERTONIC SALINE/1ML INH,0.5,,Banner Lassen Medical Center,2019
1010,250,PHARMACY HOSPITAL,6853469,HEPARIN SODIUM/1000U IV,3.1,,Banner Lassen Medical Center,2019
1011,250,PHARMACY HOSPITAL,6853501,PHENYLEPHRINE HCL<=1ML INJ,42.5,,Banner Lassen Medical Center,2019
1012,250,PHARMACY HOSPITAL,6853667,MORPHINE SULF<=10MG PB,11.5,,Banner Lassen Medical Center,2019
1013,250,PHARMACY HOSPITAL,6853733,AMINO ACIDS 4.25%/DEXT 25%/LYTES 2L,719.2,,Banner Lassen Medical Center,2019
1014,250,PHARMACY HOSPITAL,6853774,PHENOBARBITAL 32.4MG TAB,5.4,,Banner Lassen Medical Center,2019
1015,250,PHARMACY HOSPITAL,6854129,CEFTRIAXONE SODIUM/250MG PB,59.9,,Banner Lassen Medical Center,2019
1016,250,PHARMACY HOSPITAL,6854137,CEFTRIAXONE SODIUM/250MG SYI,15.4,,Banner Lassen Medical Center,2019
1017,250,PHARMACY HOSPITAL,6854186,DEPO-ESTRADIOL CYPIONATE<=5MG INJ,38.3,,Banner Lassen Medical Center,2019
1018,250,PHARMACY HOSPITAL,6854202,PHENYTOIN SODIUM/50MG INJ,15.7,,Banner Lassen Medical Center,2019
1019,250,PHARMACY HOSPITAL,6854236,HYDROMORPHONE<=4MG PB,58.2,,Banner Lassen Medical Center,2019
1020,250,PHARMACY HOSPITAL,6854244,DOPAMINE HCL/40MG INJ,6.2,,Banner Lassen Medical Center,2019
1021,250,PHARMACY HOSPITAL,6854251,DOPAMINE HCL/40MG PB,6.4,,Banner Lassen Medical Center,2019
1022,250,PHARMACY HOSPITAL,6854269,DOPAMINE HCL/40MG SYF,7.1,,Banner Lassen Medical Center,2019
1023,250,PHARMACY HOSPITAL,6854277,ERTAPENEM SODIUM/500MG INJ,226.1,,Banner Lassen Medical Center,2019
1024,250,PHARMACY HOSPITAL,6854285,ERTAPENEM SODIUM/500MG PB,258.4,,Banner Lassen Medical Center,2019
1025,250,PHARMACY HOSPITAL,6854293,ENOXAPARIN SODIUM/10MG INJ,33.3,,Banner Lassen Medical Center,2019
1026,250,PHARMACY HOSPITAL,6854343,LORAZEPAM/2MG PB,56.8,,Banner Lassen Medical Center,2019
1027,250,PHARMACY HOSPITAL,6854350,MEROPENEM/100MG INJ,7.3,,Banner Lassen Medical Center,2019
1028,250,PHARMACY HOSPITAL,6854368,MEROPENEM/100MG PB,7.3,,Banner Lassen Medical Center,2019
1029,250,PHARMACY HOSPITAL,6854384,CEFAZOLIN SODIUM/500MG SYI,30.8,,Banner Lassen Medical Center,2019
1030,250,PHARMACY HOSPITAL,6854509,LIDOCAINE 2% 20MG/ML 1ML INJ,2.1,,Banner Lassen Medical Center,2019
1031,250,PHARMACY HOSPITAL,6854566,MIDAZOLAM HCL/1MG INJ,37.3,,Banner Lassen Medical Center,2019
1032,250,PHARMACY HOSPITAL,6854574,MIDAZOLAM HCL/1MG PB,5.8,,Banner Lassen Medical Center,2019
1033,250,PHARMACY HOSPITAL,6854590,CEFEPIME HCL/500MG INJ,14.3,,Banner Lassen Medical Center,2019
1034,250,PHARMACY HOSPITAL,6854608,CEFEPIME HCL/500MG PB,21.0,,Banner Lassen Medical Center,2019
1035,250,PHARMACY HOSPITAL,6854616,CEFEPIME HCL/500MG SYI,35.3,,Banner Lassen Medical Center,2019
1036,250,PHARMACY HOSPITAL,6854657,NALOXONE HCL/1MG INJ,32.9,,Banner Lassen Medical Center,2019
1037,250,PHARMACY HOSPITAL,6854681,OCTREOTIDE NON-DEPOT/25MCG INJ,19.2,,Banner Lassen Medical Center,2019
1038,250,PHARMACY HOSPITAL,6854699,OCTREOTIDE NON-DEPOT/25MCG PB,3.2,,Banner Lassen Medical Center,2019
1039,250,PHARMACY HOSPITAL,6854723,PHENOBARBITAL SODIUM<=120MG INJ,96.0,,Banner Lassen Medical Center,2019
1040,250,PHARMACY HOSPITAL,6854731,OXYTOCIN<=10U PB,21.2,,Banner Lassen Medical Center,2019
1041,250,PHARMACY HOSPITAL,6854830,TRIAMCINOLONE ACET NOS/10MG INJ,70.0,,Banner Lassen Medical Center,2019
1042,250,PHARMACY HOSPITAL,6854848,DIAZEPAM<=5MG INJ,23.2,,Banner Lassen Medical Center,2019
1043,250,PHARMACY HOSPITAL,6854855,THIAMINE HCL/100MG INJ,15.6,,Banner Lassen Medical Center,2019
1044,250,PHARMACY HOSPITAL,6854871,FENTANYL CITRATE/0.1MG PB,11.2,,Banner Lassen Medical Center,2019
1045,250,PHARMACY HOSPITAL,6854897,ROPIVACAINE HCL/1MG INJ,0.5,,Banner Lassen Medical Center,2019
1046,250,PHARMACY HOSPITAL,6854905,ROPIVACAINE HCL/1MG IV,6.0,,Banner Lassen Medical Center,2019
1047,250,PHARMACY HOSPITAL,6854913,ROPIVACAINE HCL/1MG PB,0.6,,Banner Lassen Medical Center,2019
1048,250,PHARMACY HOSPITAL,6854921,MAGNESIUM SULFATE/500MG INJ,4.2,,Banner Lassen Medical Center,2019
1049,250,PHARMACY HOSPITAL,6854939,MAGNESIUM SULFATE/500MG PB,5.2,,Banner Lassen Medical Center,2019
1050,250,PHARMACY HOSPITAL,6854954,POTASSIUM CHLOR/2MEQ INJ,5.1,,Banner Lassen Medical Center,2019
1051,250,PHARMACY HOSPITAL,6854962,POTASSIUM CHLOR/2MEQ PB,7.5,,Banner Lassen Medical Center,2019
1052,250,PHARMACY HOSPITAL,6855001,INSULIN/5UNITS INJ,2.3,,Banner Lassen Medical Center,2019
1053,250,PHARMACY HOSPITAL,6855019,INSULIN/5UNITS PB,63.5,,Banner Lassen Medical Center,2019
1054,250,PHARMACY HOSPITAL,6855027,PREDNISOLONE/5MG LIQ,8.9,,Banner Lassen Medical Center,2019
1055,250,PHARMACY HOSPITAL,6855092,METHOTREXATE SODIUM/50MG INJ,34.4,,Banner Lassen Medical Center,2019
1056,250,PHARMACY HOSPITAL,6855118,HYALURONIDASE RECOMB/1USP U INJ,1.2,,Banner Lassen Medical Center,2019
1057,250,PHARMACY HOSPITAL,6855126,OCTAFLUOROPROPANE MI-SPHERES/ML INJ,126.3,,Banner Lassen Medical Center,2019
1058,250,PHARMACY HOSPITAL,6855258,MAGIC MOUTHWASH 10ML LIQ,12.6,,Banner Lassen Medical Center,2019
1059,250,PHARMACY HOSPITAL,6855381,MESALAMINE 400MG CAP TR,14.4,,Banner Lassen Medical Center,2019
1060,250,PHARMACY HOSPITAL,6855449,APIXABAN 2.5MG TAB,21.4,,Banner Lassen Medical Center,2019
1061,250,PHARMACY HOSPITAL,6855456,APIXABAN 5MG TAB,18.4,,Banner Lassen Medical Center,2019
1062,250,PHARMACY HOSPITAL,6855464,LIDOCAINE 0.5% 5MG/ML 1ML INJ,12.4,,Banner Lassen Medical Center,2019
1063,250,PHARMACY HOSPITAL,6855472,ALBUTEROL/IPRATROPIUM 4GM MDI,614.4,,Banner Lassen Medical Center,2019
1064,250,PHARMACY HOSPITAL,6855530,KETAMINE 50MG/1ML 1ML INJ,4.9,,Banner Lassen Medical Center,2019
1065,250,PHARMACY HOSPITAL,6855555,PROMETHAZINE HCL 25MG NS 50ML,62.4,,Banner Lassen Medical Center,2019
1066,250,PHARMACY HOSPITAL,6855571,PROCAINAMIDE HCL 100MG/1ML INJ,14.7,,Banner Lassen Medical Center,2019
1067,250,PHARMACY HOSPITAL,6855639,LIDOCAINE 0.5%/EPI 5MG/ML 1ML INJ,0.9,,Banner Lassen Medical Center,2019
1068,250,PHARMACY HOSPITAL,6855647,LIDOCAINE 1%/EPI 10MG/ML 1ML INJ,1.1,,Banner Lassen Medical Center,2019
1069,250,PHARMACY HOSPITAL,6855654,LIDOCAINE 2%/EPI 20MG/ML 1ML INJ,0.4,,Banner Lassen Medical Center,2019
1070,250,PHARMACY HOSPITAL,6855662,BUPIVACAINE 0.25% 2.5MG/1ML 1ML INJ,0.8,,Banner Lassen Medical Center,2019
1071,250,PHARMACY HOSPITAL,6855670,BUPIVACAINE 0.5% 5MG/1ML INJ,0.8,,Banner Lassen Medical Center,2019
1072,250,PHARMACY HOSPITAL,6855688,BUPIVACAINE 0.25%/EPI 2.5MG/1ML INJ,1.2,,Banner Lassen Medical Center,2019
1073,250,PHARMACY HOSPITAL,6855696,BUPIVACAINE 0.5%/EPI 5MG/1ML INJ,1.0,,Banner Lassen Medical Center,2019
1074,250,PHARMACY HOSPITAL,6855704,TRANEXAMIC ACID 1GM NS 50ML PB,62.0,,Banner Lassen Medical Center,2019
1075,250,PHARMACY HOSPITAL,6855837,BUMETANIDE 0.25MG/1ML INJ,4.4,,Banner Lassen Medical Center,2019
1076,250,PHARMACY HOSPITAL,6855878,DEXAMETHAS SOD PHOS/1MG INJ,5.0,,Banner Lassen Medical Center,2019
1077,250,PHARMACY HOSPITAL,6856207,ZOLEDRONIC ACID (ZOMETA)/1MG INJ,47.3,,Banner Lassen Medical Center,2019
1078,250,PHARMACY HOSPITAL,6856256,FILGRASTIM G-CSF NO BIOSM/1MCG INJ,2.7,,Banner Lassen Medical Center,2019
1079,250,PHARMACY HOSPITAL,6856728,VANCOMYCIN 250MG/10ML LIQ,14.8,,Banner Lassen Medical Center,2019
1080,250,PHARMACY HOSPITAL,6856769,BENZOCAINE/MENTHOL LOZ 1/PKG,5.7,,Banner Lassen Medical Center,2019
1081,250,PHARMACY HOSPITAL,6856942,INFLUENZA V4PF FLUZONE 0.25ML IM,110.1,,Banner Lassen Medical Center,2019
1082,250,PHARMACY HOSPITAL,6856967,VEDOLIZUMAB/1MG INJ,41.9,,Banner Lassen Medical Center,2019
1083,250,PHARMACY HOSPITAL,6856991,FERRIC CARBOXYMALTOSE/1MG,2.4,,Banner Lassen Medical Center,2019
1084,250,PHARMACY HOSPITAL,6857064,ADENOSINE/1MG INJ,3.6,,Banner Lassen Medical Center,2019
1085,250,PHARMACY HOSPITAL,6857072,TESTOSTERONE CYPIONATE/1MG INJ,0.5,,Banner Lassen Medical Center,2019
1086,250,PHARMACY HOSPITAL,6857098,PACLITAXEL/1MG INJ,0.8,,Banner Lassen Medical Center,2019
1087,250,PHARMACY HOSPITAL,6857148,PROPOFOL/10MG INJ,2.2,,Banner Lassen Medical Center,2019
1088,250,PHARMACY HOSPITAL,6857247,SUCCINYLCHOLINE CL<=20MG SYR,17.5,,Banner Lassen Medical Center,2019
1089,250,PHARMACY HOSPITAL,6857775,LEVETIRACETAM/10MG PB,1.2,,Banner Lassen Medical Center,2019
1090,250,PHARMACY HOSPITAL,6857791,ZOLEDRONIC ACID (ZOMETA)/1MG PB,63.3,,Banner Lassen Medical Center,2019
1091,250,PHARMACY HOSPITAL,6857809,ZOLEDRONIC ACID (RECLAST)/1MG PB,109.6,,Banner Lassen Medical Center,2019
1092,250,PHARMACY HOSPITAL,6857973,INFLUENZA V4P FLUZONE 0.5ML IM,93.1,,Banner Lassen Medical Center,2019
1093,250,PHARMACY HOSPITAL,6858161,TBO-FILGRASTIM/1MCG INJ,1.8,,Banner Lassen Medical Center,2019
1094,250,PHARMACY HOSPITAL,6858195,PREDNISONE/1MG TAB,5.4,,Banner Lassen Medical Center,2019
1095,250,PHARMACY HOSPITAL,6858294,AMIODARONE HCL/30MG 360MG PB,15.9,,Banner Lassen Medical Center,2019
1096,250,PHARMACY HOSPITAL,6858542,VANCOMYCIN 125MG/5ML 150ML LIQ,209.0,,Banner Lassen Medical Center,2019
1097,250,PHARMACY HOSPITAL,6858955,FILGRASTIM SNDZ ZARXIO BIO/1MCG INJ,1.8,,Banner Lassen Medical Center,2019
1098,250,PHARMACY HOSPITAL,6859136,INFLIXIMAB NO BIOSM/10MG INJ,227.8,,Banner Lassen Medical Center,2019
1099,250,PHARMACY HOSPITAL,6859169,BENDAMUSTINE HCL TREANDA/1MG INJ,61.0,,Banner Lassen Medical Center,2019
1100,250,PHARMACY HOSPITAL,6859201,TETRACAINE 0.5% 4ML SOLN OPH,37.6,,Banner Lassen Medical Center,2019
1101,250,PHARMACY HOSPITAL,6859342,SUGAMMADEX 500MG/5ML INJ,500.6,,Banner Lassen Medical Center,2019
1102,250,PHARMACY HOSPITAL,6859433,SULFAMETHOX/TRIMETH 16MG/1ML INJ,6.3,,Banner Lassen Medical Center,2019
1103,250,PHARMACY HOSPITAL,6859821,PROCAINAMIDE HCL 100MG/ML 10ML SYR,168.9,,Banner Lassen Medical Center,2019
1104,250,PHARMACY HOSPITAL,6860118,OCRELIZUMAB/1MG INJ,125.4,,Banner Lassen Medical Center,2019
1105,250,PHARMACY HOSPITAL,6860308,NITROPRUSS 50MG NS 100ML IV RTU,186.4,,Banner Lassen Medical Center,2019
1106,250,PHARMACY HOSPITAL,6860548,IGG HEP B HUMAN 0.5ML INJ IM,245.5,,Banner Lassen Medical Center,2019
1107,250,PHARMACY HOSPITAL,6860902,PEMBROLIZUMAB/1MG INJ NC,0.01,,Banner Lassen Medical Center,2019
1108,250,PHARMACY HOSPITAL,6860910,FULVESTRANT/25MG INJ NC,0.01,,Banner Lassen Medical Center,2019
1109,250,PHARMACY HOSPITAL,6860928,AGALSIDASE BETA/1MG INJ NC,0.01,,Banner Lassen Medical Center,2019
1110,250,PHARMACY HOSPITAL,6861116,RITUXIMAB/10MG INJ,187.9,,Banner Lassen Medical Center,2019
1111,250,PHARMACY HOSPITAL,6861157,PACLITAXEL PROTEIN BOUND/1MG INJ NC,0.01,,Banner Lassen Medical Center,2019
1112,250,PHARMACY HOSPITAL,6861165,TOCILIZUMAB/1MG INJ NC,0.01,,Banner Lassen Medical Center,2019
1113,250,PHARMACY HOSPITAL,6861173,FACTOR 9 RECOMB FC FUSION/1IU INJNC,0.01,,Banner Lassen Medical Center,2019
1114,250,PHARMACY HOSPITAL,6861181,BEVACIZUMAB/10MG INJ NC,0.01,,Banner Lassen Medical Center,2019
1115,250,PHARMACY HOSPITAL,6861199,IRINOTECAN/20MG INJ NC,0.01,,Banner Lassen Medical Center,2019
1116,250,PHARMACY HOSPITAL,6861207,DARATUMUMAB/10MG INJ NC,0.01,,Banner Lassen Medical Center,2019
1117,250,PHARMACY HOSPITAL,6861215,LEUPROLID ACET DEPOT/7.5MG INJ NC,0.01,,Banner Lassen Medical Center,2019
1118,250,PHARMACY HOSPITAL,6861223,VEDOLIZUMAB/1MG INJ NC,0.01,,Banner Lassen Medical Center,2019
1119,250,PHARMACY HOSPITAL,6861231,CETUXIMAB/10MG INJ NC,0.01,,Banner Lassen Medical Center,2019
1120,250,PHARMACY HOSPITAL,6861249,TRASTUZUMAB/10MG INJ NC,0.01,,Banner Lassen Medical Center,2019
1121,250,PHARMACY HOSPITAL,6861256,INFLIXIMAB INFLECTRA BIO/10MG INJNC,0.01,,Banner Lassen Medical Center,2019
1122,250,PHARMACY HOSPITAL,6861264,FERRIC CARBOXYMALTOSE/1MG NC,0.01,,Banner Lassen Medical Center,2019
1123,250,PHARMACY HOSPITAL,6861272,CARFILZOMIB/1MG INJ NC,0.01,,Banner Lassen Medical Center,2019
1124,250,PHARMACY HOSPITAL,6861280,PEGFILGRASTIM 6MG INJ NC,0.01,,Banner Lassen Medical Center,2019
1125,250,PHARMACY HOSPITAL,6861298,NIVOLUMAB/1MG INJ NC,0.01,,Banner Lassen Medical Center,2019
1126,250,PHARMACY HOSPITAL,6861306,ORITAVANCIN/10MG INJ NC,0.01,,Banner Lassen Medical Center,2019
1127,250,PHARMACY HOSPITAL,6861314,ABATACEPT/10MG INJ IV NC,0.01,,Banner Lassen Medical Center,2019
1128,250,PHARMACY HOSPITAL,6861322,PERTUZUMAB/1MG INJ NC,0.01,,Banner Lassen Medical Center,2019
1129,250,PHARMACY HOSPITAL,6861330,A-PROTEINASE INHIB HUMAN/10MG INJNC,0.01,,Banner Lassen Medical Center,2019
1130,250,PHARMACY HOSPITAL,6861355,OCTREOTIDE NON-DEPOT/25MCG INJ NC,0.01,,Banner Lassen Medical Center,2019
1131,250,PHARMACY HOSPITAL,6861363,ATEZOLIZUMAB/10MG INJ NC,0.01,,Banner Lassen Medical Center,2019
1132,250,PHARMACY HOSPITAL,6861371,NATALIZUMAB/1MG INJ NC,0.01,,Banner Lassen Medical Center,2019
1133,250,PHARMACY HOSPITAL,6861389,DENOSUMAB/1MG INJ NC,0.01,,Banner Lassen Medical Center,2019
1134,250,PHARMACY HOSPITAL,6861397,IPILIMUMAB/1MG INJ NC,0.01,,Banner Lassen Medical Center,2019
1135,250,PHARMACY HOSPITAL,6861405,OCRELIZUMAB/1MG INJ NC,0.01,,Banner Lassen Medical Center,2019
1136,250,PHARMACY HOSPITAL,6861421,RITUXIMAB/10MG INJ NC,0.01,,Banner Lassen Medical Center,2019
1137,250,PHARMACY HOSPITAL,6861587,EPO ALFA-EPBX BIO ESRD/100U>10K INJ,2.6,,Banner Lassen Medical Center,2019
1138,250,PHARMACY HOSPITAL,6861595,EPO ALFA-EPBX BIO NO ESRD/1000U INJ,25.1,,Banner Lassen Medical Center,2019
1139,250,PHARMACY HOSPITAL,6861629,RABIES IG/150IU 1500U 10ML INJ,730.9,,Banner Lassen Medical Center,2019
1140,250,PHARMACY HOSPITAL,6861637,RABIES IG/150IU 300U 2ML INJ,814.4,,Banner Lassen Medical Center,2019
1141,250,PHARMACY HOSPITAL,6861645,RABIES IG HT/150IU 1500U 10ML INJ,711.3,,Banner Lassen Medical Center,2019
1142,250,PHARMACY HOSPITAL,6861652,RABIES IG HT/150IU 300U 2ML INJ,670.0,,Banner Lassen Medical Center,2019
1143,250,PHARMACY HOSPITAL,6861678,DURVALUMAB/10MG INJ NC,0.01,,Banner Lassen Medical Center,2019
1144,250,PHARMACY HOSPITAL,6861694,CROTALIDAE EQUINE RTTLSNK/120MG INJ,2376.5,,Banner Lassen Medical Center,2019
1145,250,PHARMACY HOSPITAL,6861744,LIDOCAINE 4% PAT TOP,6.2,,Banner Lassen Medical Center,2019
1146,250,PHARMACY HOSPITAL,6861819,PEMETREXED/10MG INJ NC,0.01,,Banner Lassen Medical Center,2019
1147,250,PHARMACY HOSPITAL,6861850,OFATUMUMAB/10MG INJ NC,0.01,,Banner Lassen Medical Center,2019
1148,250,PHARMACY HOSPITAL,6861868,EPO ALFA-EPBX BIO ESRD/100U<10K INJ,2.6,,Banner Lassen Medical Center,2019
1149,250,PHARMACY HOSPITAL,6861934,ADO-TRASTUZUMAB EMTANSIN/1MG INJ NC,0.01,,Banner Lassen Medical Center,2019
1150,250,PHARMACY HOSPITAL,6861942,BELATACEPT/1MG INJ NC,0.01,,Banner Lassen Medical Center,2019
1151,250,PHARMACY HOSPITAL,6861959,TEMSIROLIMUS/1MG INJ NC,0.01,,Banner Lassen Medical Center,2019
1152,250,PHARMACY HOSPITAL,6861991,OMALIZUMAB/5MG INJ NC,0.01,,Banner Lassen Medical Center,2019
1153,250,PHARMACY HOSPITAL,6862007,FILGRASTIM G-CSF NO BIO/1MCG INJ NC,0.01,,Banner Lassen Medical Center,2019
1154,251,PHARMACY 340B,8400038,340B SOD BICARB 650MG TAB,0.06,,Banner Lassen Medical Center,2019
1155,251,PHARMACY 340B,8400095,340B TELMISARTAN HCT 80MG TAB,7.19,,Banner Lassen Medical Center,2019
1156,251,PHARMACY 340B,8400129,340B TETANUS IGG 250U SYR,0.01,,Banner Lassen Medical Center,2019
1157,251,PHARMACY 340B,8400137,340B TOBRAMYCIN 0.3% 3.5GM OINT OPH,0.04,,Banner Lassen Medical Center,2019
1158,251,PHARMACY 340B,8400152,340B TOBRAMYCIN/DEXAMETH 3.5GM OPH,0.04,,Banner Lassen Medical Center,2019
1159,251,PHARMACY 340B,8400160,340B CHOLECALCIFEROL 400U TAB,0.02,,Banner Lassen Medical Center,2019
1160,251,PHARMACY 340B,8400178,340B ASPIRIN 325MG TAB EC,0.02,,Banner Lassen Medical Center,2019
1161,251,PHARMACY 340B,8400194,340B LISINOPRIL 10MG TAB,0.01,,Banner Lassen Medical Center,2019
1162,251,PHARMACY 340B,8400202,340B DEXAMETHASONE/0.25MG TAB,0.01,,Banner Lassen Medical Center,2019
1163,251,PHARMACY 340B,8400210,340B HYPERTONIC SALINE/1ML PB,0.01,,Banner Lassen Medical Center,2019
